x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,Movement
0.334764808,0.636867225,-3.34E-09,0.283225298,0.600363672,0.004959337,0.249217212,0.560525179,0.002594657,0.218865633,0.539087057,4.56E-06,0.194296092,0.547279954,-0.001266383,0.288943201,0.465934932,-0.008462863,0.28004086,0.475125909,0.00421588,0.284072042,0.51045835,0.012560133,0.288062155,0.528978884,0.014785123,0.326361388,0.464021295,-0.01254533,0.314314783,0.47989428,0.003355498,0.314595878,0.508826017,0.01244269,0.316734999,0.526778936,0.012505089,0.359281898,0.476185054,-0.012703561,0.345504344,0.4918966,0.008238126,0.343342185,0.517106116,0.017097533,0.343212098,0.535198033,0.015717864,0.386132717,0.494627863,-0.013658908,0.375783563,0.505963922,0.007099296,0.371591538,0.527780771,0.016512368,0.370791316,0.543716133,0.018219478,Right
0.326392442,0.636316359,-2.43E-09,0.27546671,0.599412918,0.004703507,0.241684556,0.559272528,0.002726634,0.212566912,0.5382092,0.000212232,0.189486623,0.548660696,-0.001090948,0.282209754,0.46408233,-0.005694791,0.275299639,0.473952055,0.006536409,0.279675961,0.507959485,0.013550788,0.281685352,0.525932014,0.014912982,0.319331199,0.463066339,-0.009906818,0.309188455,0.481082588,0.005741972,0.310245126,0.509465337,0.01323464,0.311157495,0.527076125,0.012238467,0.352346957,0.475652426,-0.010546358,0.339843452,0.493651092,0.009767532,0.338393986,0.518399954,0.01703229,0.337380826,0.536194801,0.014787238,0.379877329,0.494271547,-0.012108453,0.37076351,0.507152379,0.008073127,0.366584301,0.528384805,0.016511289,0.36491248,0.543579102,0.017644532,Right
0.324572295,0.637140155,-2.56E-09,0.274698257,0.600722492,0.00647655,0.240870506,0.562109232,0.00504692,0.211540401,0.540502906,0.002947953,0.188155934,0.548010647,0.001956439,0.279327452,0.466586381,-0.005936452,0.273274839,0.476313531,0.006517724,0.278234333,0.509707332,0.014454251,0.280868053,0.528663158,0.016580259,0.316284299,0.463950276,-0.010778097,0.30703944,0.480627984,0.004958494,0.308096617,0.508410692,0.013789868,0.309070289,0.52584213,0.013836161,0.349490345,0.475466073,-0.01178039,0.338584304,0.491601735,0.008738965,0.336791158,0.516418517,0.017556515,0.335873842,0.534543037,0.016342757,0.377385229,0.493982106,-0.013541874,0.369947761,0.504425228,0.006658621,0.365929693,0.525492907,0.016044486,0.36458239,0.541417003,0.017984355,Right
0.323079169,0.636209548,-3.09E-09,0.27341789,0.599384725,0.005209507,0.239919037,0.56025058,0.003077465,0.210874557,0.538940787,0.000546145,0.188100487,0.547389328,-0.000818182,0.278130859,0.465745449,-0.008088991,0.270451963,0.476318359,0.003930026,0.275383562,0.510212779,0.011652288,0.27895844,0.528492033,0.013580512,0.315344304,0.463856488,-0.012495857,0.304505527,0.481358349,0.002157754,0.305626273,0.509451687,0.010654601,0.307345867,0.526950717,0.010653114,0.348536849,0.475839466,-0.012993623,0.33650282,0.49186784,0.006669573,0.334702909,0.516719818,0.015367934,0.334125757,0.534645081,0.014206002,0.376300603,0.494560391,-0.014282661,0.368009001,0.504716277,0.005357259,0.36406675,0.525841951,0.014665184,0.362952828,0.541781306,0.016577454,Right
0.31802097,0.633865058,-3.28E-09,0.267084301,0.59811914,0.003940284,0.233680204,0.558829725,0.001253422,0.205022782,0.538210392,-0.001504949,0.181543887,0.547678888,-0.002995182,0.274424464,0.462961018,-0.009529976,0.264909863,0.472775638,0.002640687,0.268600971,0.508914828,0.010413297,0.272540182,0.527142048,0.012172609,0.311511934,0.461723506,-0.013442514,0.297622293,0.479483753,0.001273925,0.298038036,0.508649051,0.009430815,0.300753593,0.52650702,0.009001253,0.343852073,0.474120885,-0.013489962,0.328459352,0.491775095,0.006268358,0.326400012,0.517240882,0.014243119,0.326482832,0.535049021,0.012475434,0.370353878,0.492678583,-0.014372157,0.358336955,0.505301952,0.005260397,0.354174256,0.527522981,0.013927867,0.353849441,0.543372273,0.015257633,Right
0.315491617,0.635884285,-2.74E-09,0.266013235,0.600351512,0.004867263,0.232572526,0.561492324,0.002465686,0.203932285,0.540043354,-0.00038638,0.180539191,0.547434092,-0.002175574,0.270026952,0.464868546,-0.008172027,0.26359266,0.475715339,0.003190964,0.269023389,0.510643125,0.010324168,0.272322983,0.529746056,0.011863055,0.307238877,0.462132335,-0.01265386,0.297341287,0.480625987,0.001512772,0.298703432,0.509749413,0.009486358,0.300137192,0.527114272,0.009030252,0.340663254,0.473579705,-0.013373402,0.32917884,0.491233051,0.005730582,0.327497005,0.517208159,0.01404559,0.326741338,0.535574615,0.012599924,0.368838072,0.492122293,-0.014964385,0.361000329,0.503687739,0.004130851,0.356802195,0.525545299,0.013061637,0.355360508,0.541514039,0.014726512,Right
0.314899981,0.636951208,-2.74E-09,0.265564561,0.601422548,0.005857059,0.232150361,0.562865138,0.003894124,0.203312919,0.541502893,0.001235355,0.179850742,0.548986435,-0.000311244,0.268622041,0.46619311,-0.006102833,0.263284832,0.477553219,0.005785006,0.269182593,0.511287332,0.013148949,0.272045255,0.529988885,0.014891365,0.305636048,0.463449448,-0.010930352,0.297312051,0.481476277,0.003906267,0.299043626,0.509837866,0.012219022,0.299986005,0.526883602,0.012067685,0.339239538,0.474865526,-0.012023549,0.329243422,0.491256803,0.007523975,0.32785517,0.516787291,0.016271435,0.32684654,0.535114348,0.015204409,0.367788613,0.493373215,-0.013933475,0.361632794,0.503327608,0.005559638,0.357661039,0.524610937,0.014953252,0.35590297,0.540512562,0.017002789,Right
0.31521982,0.637431502,-2.82E-09,0.265565783,0.602345347,0.005412283,0.232021406,0.563580275,0.003449536,0.203249246,0.54237479,0.000936795,0.180101395,0.549912035,-0.000544591,0.267975241,0.466193318,-0.006904715,0.262651086,0.478975445,0.004886086,0.268785566,0.513617218,0.012111709,0.271878839,0.53215301,0.013686485,0.305115402,0.463021129,-0.011509718,0.296590835,0.483166158,0.003216869,0.298724264,0.512294233,0.011416386,0.300121903,0.529117525,0.011060824,0.338911057,0.474043965,-0.012365146,0.328772008,0.493238598,0.007069041,0.327550948,0.519043863,0.015477125,0.326640427,0.536744535,0.014089156,0.367642283,0.492234468,-0.014058807,0.361010134,0.505136132,0.005326204,0.357162803,0.527016699,0.014342341,0.355625361,0.542595506,0.016065374,Right
0.321242332,0.632413208,-2.58E-09,0.271058828,0.598008156,0.007662289,0.236707002,0.560352206,0.006644347,0.207209617,0.53968817,0.004779782,0.184230119,0.546778083,0.003939714,0.271850586,0.465712368,-0.005267638,0.27234143,0.476351053,0.007452734,0.27924493,0.508637547,0.015441348,0.280064493,0.52707094,0.01760813,0.309611112,0.462076515,-0.01035126,0.307141125,0.48000589,0.006051539,0.309466451,0.507853806,0.015634628,0.308326006,0.525452256,0.016027242,0.344128221,0.472935289,-0.011461317,0.33734864,0.493677557,0.009908013,0.336641192,0.518113494,0.019392649,0.334373713,0.53507632,0.018458243,0.372908592,0.490146786,-0.013307689,0.367289066,0.507620931,0.008424923,0.363701403,0.529917955,0.018286439,0.361237913,0.545173347,0.02033418,Right
0.324162781,0.636794329,-1.66E-09,0.273121268,0.600533187,0.009935996,0.238508865,0.561812282,0.009957955,0.209062502,0.54002744,0.008517839,0.186465412,0.546859682,0.00818384,0.274166912,0.46798411,-0.001431218,0.275370926,0.47491014,0.012195485,0.281917542,0.506590366,0.020776287,0.282328904,0.52641058,0.023364898,0.311525941,0.46319747,-0.007608823,0.309887856,0.477567673,0.010067333,0.311568797,0.504965603,0.019834761,0.309757352,0.523362279,0.020319801,0.346139073,0.472940147,-0.009841654,0.340211689,0.490727663,0.012698122,0.339496195,0.515035272,0.022225076,0.337123275,0.532976627,0.021207761,0.375437766,0.48947233,-0.012698261,0.371287107,0.503285587,0.009766104,0.367431015,0.524935544,0.019864462,0.364277601,0.540615678,0.022061862,Right
